raw_row_number,date,time,location,lat,lng,beat,subject_age,subject_race,subject_sex,officer_assignment,type,arrest_made,citation_issued,warning_issued,outcome,contraband_found,contraband_drugs,contraband_weapons,search_conducted,search_basis,reason_for_stop,use_of_force_description,raw_subject_sdrace,raw_subject_resultofencounter,raw_subject_searchconducted,raw_subject_typeofsearch,raw_subject_resultofsearch
71,2013-04-02,15:16:00,100th Ave & Walnut St,37.7433872,-122.16692379999999,NA,NA,black,male,NA,NA,TRUE,FALSE,FALSE,arrest,FALSE,FALSE,FALSE,TRUE,probable cause,Probable Cause,NA,B,"Misdemeanor Arrest,",Yes,"Weapons,",NA
72,2013-04-02,15:20:00,1400  81st Ave,37.7561458,-122.18055700000001,NA,NA,black,female,NA,vehicular,TRUE,FALSE,FALSE,arrest,FALSE,FALSE,FALSE,TRUE,other,Traffic Violation,NA,B,"Misdemeanor Arrest,",Yes,"Incident to Arrest,",NA
73,2013-04-02,15:33:00,92nd Ave And Walnut St,37.74973230000001,-122.1715565,NA,NA,hispanic,male,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,probable cause,Probable Cause,NA,H,"FI Report,",Yes,"Weapons,",NA
74|75,2013-04-02,15:36:00,7340 INTERNATIONAL BLVD,37.759128999999994,-122.1860902,NA,NA,black,male,NA,NA,TRUE,FALSE,FALSE,arrest,FALSE,FALSE,FALSE,TRUE,other,Probable Cause|Reasonable Suspicion,NA,B,"Felony Arrest,|Misdemeanor Arrest,",Yes,"Incident to Arrest,",NA
76,2013-04-02,15:37:00,1647 8TH ST,37.8071804,-122.298875,NA,NA,other,male,NA,NA,TRUE,FALSE,FALSE,arrest,NA,NA,NA,FALSE,NA,Reasonable Suspicion,NA,O,"Misdemeanor Arrest,",No,NA,NA
77,2013-04-02,16:14:00,566 Hegenberger Rd,37.745021799999996,-122.1956676,NA,NA,black,male,NA,NA,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,NA,Probable Cause,NA,B,"Citation,",No,NA,NA
78,2013-04-02,17:18:00,5040 International Blvd,37.769497200000004,-122.2079685,NA,NA,hispanic,male,NA,NA,FALSE,TRUE,FALSE,citation,FALSE,FALSE,FALSE,TRUE,other,Probable Cause,NA,H,"Citation,",Yes,"Prob./Parole,",NA
79,2013-04-02,17:25:00,AUSEON AV&OLIVE ST,37.7554375,-122.16954790000001,NA,NA,hispanic,male,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,probable cause,Probable Cause,NA,H,"FI Report,",Yes,"Weapons,",NA
80,2013-04-02,17:42:00,Havenscourt And International Blvd,37.7619885,-122.192902,NA,NA,hispanic,male,NA,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,NA,Traffic Violation,NA,H,"Citation,",No,NA,NA
81,2013-04-02,18:26:00,5300 Block Of International Bl,37.768412,-122.20542900000001,NA,NA,hispanic,male,NA,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,NA,Traffic Violation,NA,H,"Citation,",No,NA,NA
